procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 30106320 132652 1354752    0    0     0     0 1065   37 12  0 88  0
 1  0      0 30087640 132652 1354992    0    0     0     0 1068   41 12  0 87  0
 1  0      0 30066912 132660 1355164    0    0     0    12 1085   55 13  0 87  0
 1  0      0 30048108 132668 1355396    0    0     0    12 1083   47 12  0 87  0
 1  0      0 30029428 132668 1355640    0    0     0     0 1081   43 12  0 87  0
 1  0      0 30012796 132668 1355880    0    0     0     0 1076   35 12  0 88  0
 1  0      0 29994116 132668 1356060    0    0     0     0 1062   29 13  0 88  0
 1  0      0 29975312 132676 1356308    0    0     0    12 1072   49 12  0 87  0
 1  0      0 29958664 132684 1356544    0    0     0    12 1097   57 12  0 87  0
 1  0      0 29942156 132684 1356724    0    0     0     0 1074   43 12  0 87  0
 1  0      0 29923368 132700 1357040    0    0     0    32 1115  111 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29906736 132700 1357220    0    0     0     0 1088   39 12  0 88  0
 1  0      0 29888064 132708 1357396    0    0     0    12 1081   59 13  0 87  0
 1  0      0 29871564 132716 1357628    0    0     0    12 1100   70 12  0 87  0
 1  0      0 29850712 132716 1357808    0    0     0     0 1075   33 12  0 87  0
 1  0      0 29834220 132716 1358004    0    0     0     0 1072   33 12  0 88  0
 1  0      0 29815540 132716 1358188    0    0     0     0 1071   43 12  0 87  0
 1  0      0 29796992 132716 1358368    0    0     0     0 1077   41 12  0 87  0
 1  0      0 29778172 132732 1358532    0    0     0    24 1088   63 12  0 87  0
 1  0      0 29761540 132732 1358732    0    0     0     0 1066   35 12  0 88  0
 1  0      0 29742860 132732 1358912    0    0     0     0 1062   37 13  0 88  0
 1  0      0 29728276 132732 1359096    0    0     0     4 1069   39 12  0 88  0
 1  0      0 29711644 132732 1359336    0    0     0     0 1063   31 13  0 88  0
 1  0      0 29693088 132748 1359500    0    0     0    24 1074   59 12  0 87  0
 1  0      0 29686572 132748 1359620    0    0     0     0 1078   47 12  0 87  0
 1  0      0 29684276 132748 1359804    0    0     0     0 1071   34 12  0 88  0
 1  0      0 29681980 132748 1360044    0    0     0    52 1068   33 13  0 88  0
 1  0      0 29679808 132748 1360240    0    0     0    16 1074   33 12  0 87  0
 1  0      0 29677612 132764 1360356    0    0     0    32 1095   72 13  0 87  0
 1  0      0 29675192 132764 1360540    0    0     0     0 1080   43 12  0 88  0
