procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0 1208016 8794376 802056 15409052    0    0     0     0 3473 3870 18  1 81  0
 1  0 1208016 8777200 802056 15409052    0    0     0     0 3065 2980 18  1 81  0
 1  0 1208016 12874364 802064 15409044    0    0     0    20 3946 2493 16 16 68  0
 1  0 1208016 12889172 802064 15409060    0    0     0     0 1861 1073 16  1 84  0
 3  0 1208016 12858512 802064 15409060    0    0     0     0 2227 1551 17  1 82  0
 1  0 1208016 12828036 802064 15409060    0    0     0     0 2352 1637 18  1 82  0
 1  0 1208016 12796580 802064 15409064    0    0     0     0 2160 1435 17  1 82  0
 1  0 1208016 12763788 802072 15409056    0    0     0    12 2352 1676 18  1 81  0
 2  0 1208016 12728600 802072 15409056    0    0     0     0 1937 1164 16  1 84  0
 9  0 1208016 12693840 802072 15409064    0    0     0     0 2055 1290 17  1 83  0
 1  0 1208016 12692504 802072 15409064    0    0     0     0 1606  699 15  0 85  0
 1  0 1208016 12654828 802072 15409068    0    0     0     0 2379 1693 18  1 81  0
 1  1 1208016 12614136 802080 15409060    0    0     0    12 2189 1443 17  1 82  0
 1  0 1208016 12568724 802080 15409068    0    0     0     0 2337 1644 18  1 81  0
 7  0 1208016 12149668 802080 15409072    0    0     0     0 2332  953 16  7 77  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0 1208016 9151660 802080 15409072    0    0     0     0 8062  601 57 43  0  0
 9  0 1208016 7525896 802080 15409072    0    0     0     0 8127 3032 77 23  0  0
17  0 1208016 7245976 802080 15409072    0    0     0     0 8106 4644 95  5  0  0
 2  0 1208016 6922188 802088 15409076    0    0     0    24 7130 8832 54  6 40  0
 1  0 1208016 12566588 802088 15409076    0    0     0     0 5259 4515 14 20 66  0
 1  0 1208016 12567628 802088 15409076    0    0     0     0 1864 1033 16  1 84  0
 1  0 1208016 12535264 802088 15409076    0    0     0     0 1694  834 15  1 85  0
 1  0 1208016 12528732 802088 15409076    0    0     0     0 2018 1253 16  1 83  0
 1  0 1208016 12482812 802096 15409076    0    0     0    12 1926 1077 16  1 83  0
 5  0 1208016 12093240 802096 15409080    0    0     0     0 2075  827 15  5 80  0
 8  0 1208016 9786788 802096 15409080    0    0     0     0 8032 1006 65 32  3  0
 8  0 1208016 7928212 802096 15409084    0    0     0     0 8086  472 76 24  0  0
 1  0 1208016 7219036 802096 15409084    0    0     0     0 5648 6650 26  7 67  0
 2  0 1208016 12295676 802104 15409076    0    0     0    28 4601 3844 14 20 66  0
 1  0 1208016 12342800 802104 15409080    0    0     0     0 1654  731 14  0 85  0
 1  0 1208016 12342928 802104 15409084    0    0     0     0 1705  852 15  0 85  0
 3  0 1208016 12342928 802104 15409084    0    0     0     0 1904 1081 16  1 84  0
 1  0 1208016 12342640 802104 15409084    0    0     0     0 1497  535 14  0 85  0
 6  0 1208016 11758196 802112 15409076    0    0     0    48 2949 1697 17  9 74  0
10  0 1208016 8568356 802120 15409088    0    0     0    16 7996 1042 48 50  2  0
 8  0 1208016 5940056 802120 15409088    0    0     0     0 8083  956 49 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
